Games before prediction,Accuracy,Euclidean Error
0,0.5501772264067346,1.0720172474382261
1,0.8881830601092896,0.6705773157950101
2,0.9400468384074941,0.6306920930766712
3,0.943900675024108,0.6283970939277531
4,0.9445603576751118,0.6294873794181071
5,0.9380379098360656,0.6341723112625698
6,0.9318878900052883,0.637700637721956
7,0.9307923497267759,0.6401764748700952
8,0.9288015828151498,0.642643223825954
9,0.9256147540983607,0.6433986639109608
10,0.9246205221615058,0.6422974870998459
11,0.9252206809583858,0.6400033084978315
12,0.922655737704918,0.6422988993758698
13,0.9208674863387978,0.64332683702301
14,0.9257662152530293,0.6412699459538789
